Katsesõna	ÜS_definitsioon
kasutajaskond	mingi toote, teenuse, süsteemi vms kasutajate ring
peoloom	pidutsemist, lõbutsemist ja alkoholi tarbimist liialduseni viiv isik
pesakond	ühel sigimisperioodil sündinud (linnu)poegade rühm
suitsetama	tubakasaadusi (nt sigarette, sigareid) põletades suitsu sisse hingama ja välja puhuma
sugupuu	skemaatiline kujutis, mis näitab isikute põlvnemist ja sugulust mitme põlvkonna vältel
kategooriline	tingimusteta, vastuväiteid või erandeid välistav, täiesti kindel ja otsustav
personal	isiklik, isikuga seotud, isikule kuuluv või teda puudutav
perspektiivitu	tulevikuväljavaateid mittepakkuv, edasiminekuvõimalusteta, lootusetu
pesto	Itaalia päritolu rohelist värvi kaste, mille põhikoostisosad on basiilik, oliiviõli, küüslauk, parmesani juust ja seedermänniseemned
summaarne	kogusummat, üldkogust, tervikut hõlmav või väljendav, kokkuvõtlik, summariseeriv
transport	inimeste, kaupade või loomade ühest kohast teise toimetamine selleks ettenähtud sõidukite abil
transs	hüpnoosiga sarnanev seisund, milles inimene on oma ümbruse suhtes tundetum ja allub kergemini sisendusele
akne	naha rasunäärmete krooniline põletikuline haigus, mille korral tekivad näole, kaelale, seljale ja rinnale vistrikud, sõlmekesed või paised
aktiivsüsi	poorne süsinikurikas aine, mida kasutatakse nt vee ja õhu puhastamiseks, mürgistuste ravis, seedehäirete korral jm tänu tema suurele imamisvõimele
aktsent	kõnes esinev hääldusviis, mis on omane teisest piirkonnast või riigist pärit isikule ja erineb kirjakeele normist
debatt	avalik vaidlus, milles osalejad esitavad mingis küsimuses oma seisukohti ja argumente ning püüavad üksteist ümber veenda
deegu	väike Lõuna-Ameerika näriline, keda peetakse lemmikloomana
defekt	toote, detaili, materjali vms viga või puudus, mis takistab selle kasutamist ettenähtud otstarbel või vähendab selle töökindlust ja vastupidavust
filosofeerima	mõtisklema, arutlema või targutama elulistel, sageli sügavamõttelistel teemadel, püüdes jõuda asjade ja nähtuste olemuseni
huligaan	ühiskondlikku korda rikkuv, teisi inimesi tülitav või neile kahju tekitav isik
